trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.1, 'e': 0.11244025345365657}",25,4,-23.638796502326564,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.1, 'e': 0.11086608990530539}",30,14,17.879095125075875,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.10931396464663111}",20,12,15.197021070020996,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.10778356914157827}",25,15,19.118599692346713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.10627459917359618}",20,8,7.823675214849715,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.10478675478516583}",25,17,14.21996904755855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.1033197402181735}",20,10,16.75461521797418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.10187326385511908}",20,6,23.507007767174787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.1004470381611474}",20,3,29.293459521831796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.09904077962689134}",20,11,7.076817549813206,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.09765420871211486}",25,12,-17.81998996130867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.1, 'e': 0.09628704979014525}",20,10,16.898397437178858,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.09493903109308321}",25,17,14.102223399261133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.09360988465778004}",25,13,8.499734886432362,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.09229934627257112}",20,10,2.8822810770937872,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.09100715542475513}",30,12,23.660665298271756,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.08973305524880856}",35,17,32.73983895138241,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.08847679247532524}",35,23,21.851118355078547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.08723811738067068}",25,17,5.285153543053781,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.08601678373734128}",20,10,-2.828771227842882,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.08481254876501851}",30,0,46.66055881515302,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.1, 'e': 0.08362517308230825}",20,12,15.565052173696238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.08245442065915594}",20,11,2.7964667563329617,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.08130005876992775}",25,2,34.86055211108364,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.08016185794714877}",35,11,-3.773425293705528,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.1, 'e': 0.07903959193588868}",20,3,35.010700254039904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.07793303764878623}",20,12,3.7340380295885423,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.07684197512170322}",25,13,24.623770206281648,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
